Id,Label,Title,Issue,Author
80,,Implementing Queer Theory and Gender Variation into the Public School System Using Soka Pedagogy,2013," Natalie De Leon "
81,,An Ecology of Human Life,2012," Nathaniel Maynard"
82,,A Humanistic Approach to Moral Education,2005," Nobuko Kainuma"
83,,Analyzing the Development of Makiguchi,2012," Nozomi Inukai "
84,,Soka Education Research in China: Possible Contributions of Soka Education to Educational Reformation in China,2011," Nozomi Inukai "
85,,Soka Kyouikugaku Taikei and Education for Creative Living: How Makiguchi&#8217;s Educational Ideas are Presented in English,2011," Nozomi Inukai "
86,,Realizing Soka Education,2014," Padmini Hands"
87,,Creating Sustainability in an Urban School: A Lotus Out of Muck,2011," Patrick Noon "
88,,Fostering Global Citizenship through Dramatic Art Rekha Gokhale,2014," Rekha Gokhale "
89,,Social Justice Begins in Kindergarten _ Fostering Respect,2010," Rekha Gokhale "
90,,Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction,2012," Ritsuko Rita"
91,,Makiguchi,2014," Ritsuko Rita"
92,,Advancing the Educational Experience of the Learner: SUA,2010," Ruby Nagashima "
93,,What&#8217;s the Matter with Kids Today?,2007," Russel Dalton "
94,,Education for Social Consciousness: Hip Hop Pedagogy and Soka Education,2011," Ryan Hayashi"
95,,Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction,2012," Ryan Hayashi"
96,,Putting the Theory into Practice: Reflections on the Implementation of Soka Mathematics Education,2014," Ryan Hayashi"
97,,From a Philosophy to a Methodology: Implementing Soka Pedagogy in Math Instruction for At-Risk Youth,2013," Ryan Hayashi"
98,,Academic Sovereignty Technology and Soka Education: From a Culture of War towards a Culture of Peace,2011," Ryan Hayashi"
99,,The Effect of Class Size on Teaching Methodology: An Examination of Williams College,2005," Ryo Kondo "
100,,Comparative Analysis of Humanistic Educational Theories and Practices: Tsunesaburo Makiguchi and Carl Rogers,2009," Sari Nakayama "
101,,Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction,2012," Satomi Ueno"
102,,For SUA to Survive the 21st Century as a University for the People: Learning from the History of a Pre-War Japanese Liberal Arts School Kyusei Dai Ichi K_t_ Gakk_,2013," Satoshi Inuzuka"
103,,The Role of Education for the 21st Century Sustainabile Development,2006," Sayaka Sugahara "
104,,Realizing Soka Education,2014," Shanti Hands"
105,,Conditions of Creativity: A Reading of Descartes Kant and Leibniz in the Context of Soka Education,2011," Simon Hoffding "
106,,An Overview of the Editions of Soka Kyouikugaku Taikei,2011," Simon Hoffding "
107,,A New Physical Education: The Philosophy of Children,2013," Simone Barclay "
108,,Education for Social Consciousness: Hip Hop Pedagogy and Soka Education,2011," Simone Barclay "
109,,A Humanistic Approach to Moral Education,2005," Suh Jin Park"
110,,Field Study Report: Putting Soka Education in Practice,2008," Suh Jin Park"
111,,Soka Education and Teacher Education in India: Restructuring the Life of a Teacher,2014," Swati Raj "
112,,Makiguchi Translation: Research into Community Studies as the Integrating Focus of Instruction,2012," Takako Masui "
113,,Refugee-Migrant Education and Soka Education: A Value-Creative Approach to Practicing Global Citizenship Education,2014," Takako Yoshizawa "
114,,Autonomous Self-regulated Self-discovered Learning,2009," Tana Gandhi "
115,,Science Education for Value Creation,2011," Tyko Shoji "
116,,Fostering Positive Human Relations,2006," Xiaoxing Liu "
117,,Study abroad and being a global citizen,2005," Xiaoxing Liu "
118,,For SUA to Survive the 21st Century as a University for the People: Learning from the History of a Pre-War Japanese Liberal Arts School Kyusei Dai Ichi K_t_ Gakk_,2013," Yu Hirano "
119,,From Local to Global: Soka Education&#8217;s Potential for Sustainable Development in Ecuador and Beyond,2011," Yui Takishima "
120,,An Ecology of Human Life,2012," Yui Takishima "
121,,Raising Language Awareness: Teaching Sociolinguistics for the Realization of Human Equality,2008," Yuko Sugiyama "
