post_title,post_content,published_pages,published_issue,authors,post_date,post_author,post_type
"Revolutionizing the Corporate World: Ethical, Humanistic, and Ecological Thinking in Corporations",,34-41,2008,Masashiro Kaleo Louis,2014-01-17 01:11:11,lkbgift,paper
Raising Language Awareness: Teaching Sociolinguistics for the Realization of Human Equality,,42-47,2008,Yuko Sugiyama & Masako Iwamoto,2014-01-18 01:11:11,lkbgift,paper
"Education, Revolution and Contribution: My Perspective on the History of Latin America and the Universal Philosophy of Soka Education",,48-53,2008,Koichi Hagimoto,2014-01-19 01:11:11,lkbgift,paper
The Combination of Manual and Intellectual Labor in Education for Social Transformation,,54-61,2008,Jennifer Numagami,2014-01-20 01:11:11,lkbgift,paper
"Education, and the Revolutionary Process in Venezuela",,62-69,2008,Fabiana Sanchez,2014-01-21 01:11:11,lkbgift,paper
The Development of Ethics in a Globalized Society,,8-17,2009,G. Scott Williams,2014-01-22 01:11:11,lkbgift,paper
Ecological Value-Creation and Political Transformation,,18-24,2009,Masashiro Kaleo Louis,2014-01-23 01:11:11,lkbgift,paper
Votes to Grades: A Comparative Study on Democratic Decisions in Modern Society,,25-31,2009,Jean Marcus Silva,2014-01-24 01:11:11,lkbgift,paper
Makiguchi and Democracy: The Philosophy of Value-Creative Education in an Evolving World,,32-43,2009,Michael Strand,2014-01-25 01:11:11,lkbgift,paper
Youthful Leaders of Schools: An Annotated Bibliography,,44-46,2009,Monte Joffee,2014-01-26 01:11:11,lkbgift,paper
"Autonomous, Self-regulated, Self-discovered Learning",,47-50,2009,Tana Gandhi,2014-01-27 01:11:11,lkbgift,paper
Comparative Analysis of Humanistic Educational Theories and Practices: Tsunesaburo Makiguchi and Carl Rogers,,51-57,2009,Sari Nakayama,2014-01-28 01:11:11,lkbgift,paper
The Fetishism of Democracy and Soka Education,,58-65,2009,David Witkowski,2014-01-29 01:11:11,lkbgift,paper
Media and Democracy: Creating Value Creating Contents in the 21st Century,,66-79,2009,Masataka Ito,2014-01-30 01:11:11,lkbgift,paper
Democracy and Freedom of Speech: A Right vs. A Responsibility,,80-91,2009,Cliff Tanaka and Fumihiko Tominaga,2014-01-31 01:11:11,lkbgift,paper
Humanitarian Competition: Re-Writing the Tragedies of the Commons and Anti-Commons,,4-18,2010,Eric Kunimoto,2014-02-01 01:11:11,lkbgift,paper
Music Education: Social Justice through Creativity and Inclusion,,19-30,2010,Elaine Chang Sandoval,2014-02-02 01:11:11,lkbgift,paper
Advancing the Educational Experience of the Learner: SUA’s Residential Life Co-Curricular Approach,,31-41,2010,Ruby Nagashima,2014-02-03 01:11:11,lkbgift,paper
Soka Education for Social Justice,,42-48,2010,Dr. Jim Garrison,2014-02-04 01:11:11,lkbgift,paper
Daisaku Ikeda’s Conception of Cosmopolitan Education,,49-56,2010,Gonzalo Obelleiro,2014-02-05 01:11:11,lkbgift,paper
Establishing Social Justice through Education for Women: Evidence from Self-Help Groups in India,,57-63,2010,Kajal Gulati,2014-02-06 01:11:11,lkbgift,paper
Soka Education for Laws: Choosing Process over Frame: An Ode to Abandon Fear and Accept the Universe,,64-68,2010,Jean Marcus,2014-02-07 01:11:11,lkbgift,paper
Social Justice Begins in Kindergarten – Fostering Respect,,68-87,2010,Rekha Gokhale and Lisa McMillan,2014-02-08 01:11:11,lkbgift,paper
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
